country,date,GDP per capita,Population
Germany,2023,54343.2265084958,83280000.0
Germany,2022,49686.1154582583,83797985.0
Germany,2021,52265.6541620571,83196078.0
Germany,2020,47379.765194548,83160871.0
Germany,2019,47623.8656074829,83092962.0
Germany,2018,48874.8595028454,82905782.0
Germany,2017,45526.5999576533,82657002.0
Germany,2016,42961.0356905775,82348669.0
Germany,2015,41911.0109851054,81686611.0
Germany,2014,48971.0824722599,80982500.0
Germany,2013,47220.0102098851,80645605.0
Germany,2012,44735.5882319701,80425823.0
Germany,2011,47646.582043143,80274983.0
Germany,2010,42409.9356994694,81776930.0
Germany,2009,42487.2137101496,81902307.0
Germany,2008,46386.3295924799,82110097.0
Germany,2007,42350.9217211489,82266372.0
Germany,2006,36980.3349948954,82376451.0
Germany,2005,35084.4363546269,82469422.0
Germany,2004,34566.7359143735,82516260.0
Germany,2003,30711.1022511331,82534176.0
Germany,2002,25486.5942008748,82488495.0
Germany,2001,23878.3641471651,82349925.0
Germany,2000,23925.8559901991,82211508.0
Germany,1999,26965.4922773722,82100243.0
Germany,1998,27395.9440608051,82047195.0
Germany,1997,27046.9565464237,82034771.0
Germany,1996,30599.7891048363,81914831.0
Germany,1995,31747.2449398447,81678051.0
Germany,1994,27201.9593555204,81438348.0
Germany,1993,25616.6508772405,81156363.0
Germany,1992,26559.8543879632,80624598.0
Germany,1991,23443.3350818536,80013896.0
Germany,1990,22385.6778250275,79433029.0
Germany,1989,17829.4609524705,78751283.0
Germany,1988,17996.9783507619,78144619.0
Germany,1987,16738.6132825523,77839920.0
Germany,1986,13511.1520027486,77720436.0
Germany,1985,9464.11694710857,77684873.0
Germany,1984,9347.29068412377,77858685.0
Germany,1983,9900.48559233526,78128282.0
Germany,1982,9950.05926025365,78333366.0
Germany,1981,10246.4767623188,78407907.0
Germany,1980,12182.7800196802,78288576.0
Germany,1979,11322.3543443813,78126350.0
Germany,1978,9516.78283228907,78091820.0
Germany,1977,7711.10232025365,78159814.0
Germany,1976,6659.16546576017,78336950.0
Germany,1975,6259.20744498342,78673554.0
Germany,1974,5659.73787773336,78967433.0
Germany,1973,5065.24523302283,78936666.0
Germany,1972,3823.94032602696,78688452.0
Germany,1971,3203.82884836051,78312842.0
Germany,1970,2771.28310514754,78169289.0
Germany,1969,2281.27598218229,77909682.0
Germany,1968,2025.08159465853,77294314.0
Germany,1967,1885.61596607874,76951336.0
Germany,1966,1870.80540291774,76600311.0
Germany,1965,1774.1986904555,75963695.0
Germany,1964,1637.45522773672,75318337.0
Germany,1963,1502.15452905146,74714353.0
Germany,1962,1430.52095516263,74025784.0
Germany,1961,1315.90787834504,73377632.0
Germany,1960,1162.12266831735,72814900.0
Spain,2023,33509.0127982139,48347910.0
Spain,2022,30287.3657583614,47759127.0
Spain,2021,30817.6828559001,47415794.0
Spain,2020,27230.3599933583,47365655.0
Spain,2019,29776.2011500384,47134837.0
Spain,2018,30592.1264795541,46797754.0
Spain,2017,28367.9392609439,46593236.0
Spain,2016,26740.6851818829,46484062.0
Spain,2015,25969.8383138327,46444832.0
Spain,2014,29694.8874886229,46480882.0
Spain,2013,29218.9105170888,46620045.0
Spain,2012,28456.4438151477,46773055.0
Spain,2011,31824.6219134777,46742697.0
Spain,2010,30658.7422282912,46576897.0
Spain,2009,32279.8208476151,46362946.0
Spain,2008,35603.248328071,45954106.0
Spain,2007,32652.015594702,45226803.0
Spain,2006,28421.686527407,44397319.0
